t_iso,t_mono,sim_time_s,frame_i,fsm_state,align_sub,det_ok,pos_x,pos_y,pos_z,yaw_deg,yaw_model_raw_deg,width_m,fps,measurement_sim_time_s,latency_s,truth_x,truth_y,truth_z,truth_yaw_deg,error_x,error_y,error_z,error_yaw_deg
2026-09-09T06:47:53.334+00:00,1000.0,0.0,0,PRECHECK,,1,0.0,0.425,4.0,0.0,0.0,1.1,,0.0,0.0,0.0,0.425,4.0,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.368+00:00,1000.0333333333333,0.03333333333333333,1,SEARCH_SWEEP,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.0,0.03333333333333333,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.401+00:00,1000.0666666666667,0.06666666666666667,2,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.0,0.06666666666666667,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.434+00:00,1000.1,0.1,3,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,29.999999999999993,0.1,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.468+00:00,1000.1333333333333,0.13333333333333333,4,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.000000000000007,0.13333333333333333,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.501+00:00,1000.1666666666666,0.16666666666666666,5,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.000000000000007,0.16666666666666666,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.534+00:00,1000.2,0.19999999999999998,6,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.000000000000007,0.19999999999999998,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.568+00:00,1000.2333333333333,0.2333333333333333,7,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.000000000000007,0.2333333333333333,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.601+00:00,1000.2666666666667,0.26666666666666666,8,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,29.999999999999982,0.26666666666666666,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.634+00:00,1000.3,0.3,9,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.000000000000007,0.3,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.668+00:00,1000.3333333333334,0.3333333333333333,10,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.000000000000007,0.3333333333333333,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.701+00:00,1000.3666666666667,0.36666666666666664,11,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.000000000000007,0.36666666666666664,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.734+00:00,1000.4,0.39999999999999997,12,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.000000000000007,0.39999999999999997,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.768+00:00,1000.4333333333333,0.4333333333333333,13,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.000000000000007,0.4333333333333333,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.801+00:00,1000.4666666666667,0.4666666666666666,14,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.000000000000007,0.4666666666666666,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.834+00:00,1000.5,0.49999999999999994,15,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.000000000000007,0.49999999999999994,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.868+00:00,1000.5333333333333,0.5333333333333333,16,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,29.999999999999957,0.5333333333333333,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.901+00:00,1000.5666666666667,0.5666666666666667,17,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.000000000000007,0.5666666666666667,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.934+00:00,1000.6,0.6,18,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.000000000000007,0.6,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:53.968+00:00,1000.6333333333333,0.6333333333333333,19,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.000000000000007,0.6333333333333333,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:54.001+00:00,1000.6666666666666,0.6666666666666666,20,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.000000000000007,0.6666666666666666,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:54.034+00:00,1000.7,0.7,21,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.000000000000007,0.7,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:54.068+00:00,1000.7333333333333,0.7333333333333333,22,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.000000000000007,0.7333333333333333,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
2026-09-09T06:47:54.101+00:00,1000.7666666666667,0.7666666666666666,23,ACQUIRE_VERIFY,,1,0.0,0.425,3.9999999999999996,0.0,0.0,1.1,30.000000000000007,0.7666666666666666,0.0,0.0,0.425,3.9999999999999996,0.0,0.0,0.0,0.0,0.0
