video_frame,video_time_s,world_sim_s,fsm_sim_s,camera_sim_s,state
0,0.0,0.0,0.0,0.0,SEARCH_SWEEP
1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,ACQUIRE_VERIFY
2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,ACQUIRE_VERIFY
3,0.2,0.19999999999999998,0.19999999999999998,0.19999999999999998,ACQUIRE_VERIFY
4,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,ACQUIRE_VERIFY
5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,ACQUIRE_VERIFY
6,0.4,0.39999999999999997,0.39999999999999997,0.39999999999999997,ACQUIRE_VERIFY
7,0.4666666666666667,0.4666666666666666,0.4666666666666666,0.4666666666666666,ACQUIRE_VERIFY
8,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,ACQUIRE_VERIFY
9,0.6,0.6,0.6,0.6,ACQUIRE_VERIFY
10,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,ACQUIRE_VERIFY
11,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,ACQUIRE_VERIFY
12,0.8,0.7999999999999999,0.7999999999999999,0.7999999999999999,ACQUIRE_VERIFY
13,0.8666666666666667,0.8666666666666666,0.8666666666666666,0.8666666666666666,ACQUIRE_VERIFY
14,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,ACQUIRE_VERIFY
15,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,ACQUIRE_VERIFY
16,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,ACQUIRE_VERIFY
17,1.1333333333333333,1.1,1.1,1.1,ACQUIRE_VERIFY
18,1.2,1.166666666666667,1.166666666666667,1.166666666666667,ACQUIRE_VERIFY
19,1.2666666666666666,1.2333333333333338,1.2333333333333338,1.2333333333333338,ACQUIRE_VERIFY
20,1.3333333333333333,1.3000000000000007,1.3000000000000007,1.3000000000000007,ACQUIRE_VERIFY
21,1.4,1.3666666666666676,1.3666666666666676,1.3666666666666676,ACQUIRE_VERIFY
22,1.4666666666666666,1.4333333333333345,1.4333333333333345,1.4333333333333345,ACQUIRE_VERIFY
23,1.5333333333333334,1.5000000000000013,1.5000000000000013,1.5000000000000013,ACQUIRE_VERIFY
24,1.6,1.5666666666666682,1.5666666666666682,1.5666666666666682,ACQUIRE_VERIFY
25,1.6666666666666667,1.633333333333335,1.633333333333335,1.633333333333335,ACQUIRE_VERIFY
26,1.7333333333333334,1.700000000000002,1.700000000000002,1.700000000000002,ACQUIRE_VERIFY
27,1.8,1.7666666666666688,1.7666666666666688,1.7666666666666688,ACQUIRE_VERIFY
28,1.8666666666666667,1.8333333333333357,1.8333333333333357,1.8333333333333357,ACQUIRE_VERIFY
29,1.9333333333333333,1.9000000000000026,1.9000000000000026,1.9000000000000026,ACQUIRE_VERIFY
30,2.0,1.9666666666666694,1.9666666666666694,1.9666666666666694,ACQUIRE_VERIFY
31,2.066666666666667,2.033333333333336,2.033333333333336,2.033333333333336,ACQUIRE_VERIFY
32,2.1333333333333333,2.1000000000000023,2.1000000000000023,2.1000000000000023,ACQUIRE_VERIFY
33,2.2,2.1666666666666687,2.1666666666666687,2.1666666666666687,ACQUIRE_VERIFY
34,2.2666666666666666,2.233333333333335,2.233333333333335,2.233333333333335,ACQUIRE_VERIFY
35,2.3333333333333335,2.3000000000000016,2.3000000000000016,2.3000000000000016,ACQUIRE_VERIFY
36,2.4,2.3933333333333335,2.3933333333333335,2.3933333333333335,COARSE_PREPARE
37,2.466666666666667,2.463333333333332,2.463333333333332,2.463333333333332,COARSE_PREPARE
38,2.533333333333333,2.5333333333333306,2.5333333333333306,2.5333333333333306,COARSE_PREPARE
39,2.6,2.5933333333333293,2.5933333333333293,2.5933333333333293,COARSE_PREPARE
40,2.6666666666666665,2.663333333333328,2.663333333333328,2.663333333333328,COARSE_PREPARE
41,2.7333333333333334,2.7333333333333263,2.7333333333333263,2.7333333333333263,COARSE_PREPARE
42,2.8,2.793333333333325,2.793333333333325,2.793333333333325,COARSE_PREPARE
43,2.8666666666666667,2.8633333333333235,2.8633333333333235,2.8633333333333235,COARSE_PREPARE
44,2.933333333333333,2.933333333333322,2.933333333333322,2.933333333333322,COARSE_PREPARE
45,3.0,2.9933333333333207,2.9933333333333207,2.9933333333333207,COARSE_PREPARE
46,3.066666666666667,3.0633333333333193,3.0633333333333193,3.0633333333333193,COARSE_PREPARE
47,3.1333333333333333,3.1333333333333178,3.1333333333333178,3.1333333333333178,COARSE_PREPARE
48,3.2,3.1933333333333165,3.1933333333333165,3.1933333333333165,COARSE_PREPARE
49,3.2666666666666666,3.263333333333315,3.263333333333315,3.263333333333315,COARSE_PREPARE
50,3.3333333333333335,3.3333333333333135,3.3333333333333135,3.3333333333333135,COARSE_PREPARE
51,3.4,3.393333333333312,3.393333333333312,3.393333333333312,COARSE_PREPARE
52,3.466666666666667,3.4633333333333107,3.4633333333333107,3.4633333333333107,COARSE_PREPARE
